week,validators_this_week,validators_prev_week,added,removed,stayed,churn_rate
2024-04-22,21,21,8,8,13,0.38095238095238093
2024-04-29,21,21,10,10,11,0.47619047619047616
2024-05-06,21,21,7,7,14,0.3333333333333333
2024-05-13,21,21,10,10,11,0.47619047619047616
2024-05-20,21,21,6,6,15,0.2857142857142857
2024-05-27,21,21,5,5,16,0.23809523809523808
2024-06-03,21,21,3,3,18,0.14285714285714285
2024-06-10,21,21,5,5,16,0.23809523809523808
2024-06-17,21,21,5,5,16,0.23809523809523808
2024-06-24,21,21,4,4,17,0.19047619047619047
2024-07-01,21,21,5,5,16,0.23809523809523808
2024-07-08,21,21,4,4,17,0.19047619047619047
2024-07-15,21,21,4,4,17,0.19047619047619047
2024-07-22,21,21,5,5,16,0.23809523809523808
2024-07-29,21,21,4,4,17,0.19047619047619047
2024-08-05,21,21,4,4,17,0.19047619047619047
2024-08-12,21,21,6,6,15,0.2857142857142857
2024-08-19,21,21,6,6,15,0.2857142857142857
2024-08-26,21,21,6,6,15,0.2857142857142857
2024-09-02,21,21,4,4,17,0.19047619047619047
2024-09-09,21,21,6,6,15,0.2857142857142857
2024-09-16,21,21,5,5,16,0.23809523809523808
2024-09-23,21,21,5,5,16,0.23809523809523808
2024-09-30,21,21,3,3,18,0.14285714285714285
2024-10-07,21,21,5,5,16,0.23809523809523808
2024-10-14,21,21,4,4,17,0.19047619047619047
2024-10-21,21,21,4,4,17,0.19047619047619047
2024-10-28,21,21,4,4,17,0.19047619047619047
2024-11-04,21,21,3,3,18,0.14285714285714285
2024-11-11,21,21,4,4,17,0.19047619047619047
2024-11-18,21,21,4,4,17,0.19047619047619047
2024-11-25,21,21,5,5,16,0.23809523809523808
2024-12-02,21,21,6,6,15,0.2857142857142857
2024-12-09,21,21,6,6,15,0.2857142857142857
2024-12-16,21,21,4,4,17,0.19047619047619047
2024-12-23,21,21,3,3,18,0.14285714285714285
2024-12-30,21,21,4,4,17,0.19047619047619047
2025-01-06,21,21,3,3,18,0.14285714285714285
2025-01-13,21,21,4,4,17,0.19047619047619047
2025-01-20,21,21,4,4,17,0.19047619047619047
2025-01-27,21,21,6,6,15,0.2857142857142857
2025-02-03,21,21,8,8,13,0.38095238095238093
2025-02-10,21,21,8,8,13,0.38095238095238093
2025-02-17,21,21,6,6,15,0.2857142857142857
2025-02-24,21,21,6,6,15,0.2857142857142857
2025-03-03,21,21,6,6,15,0.2857142857142857
2025-03-10,21,21,5,5,16,0.23809523809523808
2025-03-17,21,21,4,4,17,0.19047619047619047
2025-03-24,21,21,4,4,17,0.19047619047619047
2025-03-31,21,21,6,6,15,0.2857142857142857
2025-04-07,21,21,6,6,15,0.2857142857142857
2025-04-14,21,21,4,4,17,0.19047619047619047
2025-04-21,21,21,5,5,16,0.23809523809523808
2025-04-28,21,21,6,6,15,0.2857142857142857
2025-05-05,21,21,4,4,17,0.19047619047619047
2025-05-12,21,21,4,4,17,0.19047619047619047
2025-05-19,21,21,5,5,16,0.23809523809523808
2025-05-26,21,21,7,7,14,0.3333333333333333
2025-06-02,21,21,8,8,13,0.38095238095238093
2025-06-09,21,21,6,6,15,0.2857142857142857
2025-06-16,21,21,5,5,16,0.23809523809523808
2025-06-23,21,21,5,5,16,0.23809523809523808
2025-06-30,21,21,5,5,16,0.23809523809523808
2025-07-07,21,21,5,5,16,0.23809523809523808
2025-07-14,21,21,6,6,15,0.2857142857142857
2025-07-21,21,21,5,5,16,0.23809523809523808
2025-07-28,21,21,4,4,17,0.19047619047619047
2025-08-04,21,21,6,6,15,0.2857142857142857
2025-08-11,21,21,4,4,17,0.19047619047619047
2025-08-18,21,21,4,4,17,0.19047619047619047
2025-08-25,21,21,5,5,16,0.23809523809523808
2025-09-01,21,21,4,4,17,0.19047619047619047
2025-09-08,21,21,4,4,17,0.19047619047619047
2025-09-15,21,21,5,5,16,0.23809523809523808
2025-09-22,21,21,5,5,16,0.23809523809523808
2025-09-29,21,21,4,4,17,0.19047619047619047
2025-10-06,21,21,3,3,18,0.14285714285714285
2025-10-13,21,21,4,4,17,0.19047619047619047
2025-10-20,21,21,5,5,16,0.23809523809523808
2025-10-27,21,21,5,5,16,0.23809523809523808
2025-11-03,21,21,6,6,15,0.2857142857142857
2025-11-10,21,21,4,4,17,0.19047619047619047
2025-11-17,21,21,6,6,15,0.2857142857142857
2025-11-24,21,21,5,5,16,0.23809523809523808
2025-12-01,21,21,6,6,15,0.2857142857142857
2025-12-08,21,21,7,7,14,0.3333333333333333
2025-12-15,21,21,6,6,15,0.2857142857142857
2025-12-22,21,21,6,6,15,0.2857142857142857
2025-12-29,21,21,5,5,16,0.23809523809523808
2026-01-05,21,21,5,5,16,0.23809523809523808
2026-01-12,21,21,4,4,17,0.19047619047619047
2026-01-19,21,21,5,5,16,0.23809523809523808
2026-01-26,21,21,6,6,15,0.2857142857142857
2026-02-02,21,21,5,5,16,0.23809523809523808
2026-02-09,21,21,3,3,18,0.14285714285714285
2026-02-16,21,21,3,3,18,0.14285714285714285
2026-02-23,21,21,4,4,17,0.19047619047619047
2026-03-02,21,21,5,5,16,0.23809523809523808
2026-03-09,21,21,4,4,17,0.19047619047619047
2026-03-16,21,21,4,4,17,0.19047619047619047
2026-03-23,21,21,5,5,16,0.23809523809523808
2026-03-30,21,21,6,6,15,0.2857142857142857
2026-04-06,21,21,4,4,17,0.19047619047619047
2026-04-13,21,21,3,3,18,0.14285714285714285
2026-04-20,21,21,5,5,16,0.23809523809523808
2026-04-27,21,21,4,4,17,0.19047619047619047
