slot,common,A_branch,B_branch
300,0,,
301,0,,
302,0,,
303,0,,
304,0,,
305,0,,
306,0,,
307,0,,
308,0,,
309,0,,
310,0,,
311,0,,
312,0,,
313,0,,
314,0,,
315,0,,
316,0,,
317,0,,
318,0,,
319,0,,
320,0,,
321,0,,
322,0,,
323,0,,
324,0,,
325,0,,
326,0,,
327,0,,
328,0,,
329,0,,
330,0,,
331,0,,
332,0,,
333,0,,
334,0,,
335,0,,
336,0,,
337,0,,
338,0,,
339,0,,
340,0,,
341,0,,
342,0,,
343,0,,
344,0,,
345,0,,
346,0,,
347,0,,
348,0,,
349,0,,
350,0,,
351,0,,
352,0,,
353,0,,
354,0,,
355,0,,
356,0,,
357,0,,
358,0,,
359,0,,
360,0,,
361,0,,
362,0,,
363,0,,
364,0,,
365,0,,
366,0,,
367,0,,
368,0,,
369,0,,
370,0,,
371,0,,
372,0,,
373,0,,
374,0,,
375,0,,
376,0,,
377,0,,
378,0,,
379,0,,
380,0,,
381,0,,
382,0,,
383,0,,
384,0,,
385,0,,
386,0,,
387,0,,
388,0,,
389,0,,
390,0,,
391,0,,
392,0,,
393,0,,
394,0,,
395,0,,
396,0,,
397,0,,
398,,1,-1
399,,1,-1
400,,1,-1
401,,1,-1
402,,1,-1
403,,1,-1
404,,1,-1
405,,1,-1
406,,1,-1
407,,1,-1
408,,1,-1
409,,1,-1
410,,1,-1
411,,1,-1
412,,1,-1
413,,1,-1
414,,1,-1
415,,1,-1
416,,1,-1
417,,1,-1
418,,1,-1       
419,,1,-1
420,,1,-1
421,,1,-1
422,,1,-1
423,,1,-1
424,,1,-1
425,,1,-1
426,,1,-1
427,,1,-1
428,,1,-1
429,,1,-1
430,,1,-1
431,,1,-1
432,,1,-1
433,,1,-1
434,,1,-1
435,,1,-1
436,,1,-1
437,,1,-1
438,,1,-1
439,,1,-1
440,,1,-1
441,,1,-1
442,,1,-1
443,,1,-1
444,,1,-1
455,,1,-1
456,,1,-1
457,,1,-1
458,,1,-1
459,,1,-1
460,,1,-1
461,,1,-1
462,,1,-1
463,,1,-1
464,,1,-1
465,,1,-1
466,,1,-1
467,,1,-1
468,,1,-1
469,,1,-1
470,,1,-1
471,,1,-1
472,,1,-1
473,,1,-1
474,,1,-1
475,,1,-1
476,,1,-1
477,,1,-1
478,,1,-1
479,,1,-1
480,,1,-1
481,,1,-1
482,,1,-1
483,,1,-1
484,,1,-1
485,,1,-1
486,,1,-1
487,,1,-1
488,,1,-1
489,,1,
490,,1,
491,,1,
492,,1, 
493,,1,
494,,1,
495,,1,
496,,1,
497,,1,
498,,1,
499,,1,
500,,1,
501,,1,
502,,1,
503,,1,
504,,1,
505,,1,
506,,1,
507,,1,
508,,1,
509,,1,
510,,1,
511,,1,
512,,1,
513,,1,
514,,1,
515,,1,
516,,1,
517,,1,
518,,1,
519,,1,
520,,1,
521,,1,
522,,1,
523,,1,
524,,1,
525,,1,
526,,1,
527,,1,
528,,1,
531,,1,
532,,1,
533,,1,
534,,1,
535,,1,
536,,1,
537,,1,
538,,1,
539,,1,
540,,1,
541,,1,
542,,1,
543,,1,
544,,1,
550,,1,
